,type,news
10,business,nova wins government okay for husky hyo deal nova the canadian company that owns pct of husky oil ltd said it received government approval for a transaction under which union faith canada holding ltd would buy a pct stake in husky nova said the minister of regional and industrial expansion michel cote ruled that union faith s purchase of the husky stake would not result in husky ceding control to a non canadian company it said this ruling was a key condition in completing the deal union faith is equally owned by hutchison whampoa ltd and hong kong electric holdings ltd under the agreement with union faith husky will become a private company with union faith and nova each holding pct of its stock nine pct of husky would be owned by relatives of li ka shing chairman of hutchison and five pct by the canadian imperial bank of commerice reuter 
11,business,suffield financial ssbk gets fed approval suffield financial corp said the federal reserve board approved its application to acquire coastal bancorp csbk portland me suffield said it still needs the approval of the superintendent of maine s banking department reuter 
12,business,versatile to sell unit to vicon versatile corp said it agreed in principle to sell its alberta based versatile noble cultivators co division to vicon inc of ontario for undisclosed terms the division manufactures tillage and spraying equipment reuter 
13,business,videotron buys into exhibit company groupe videotron ltd said it agreed to buy pct of groupe promexpo inc a company which specializes in product exhibits for three mln dlrs reuter 
14,business,circuit systems csyi buys board maker circuit systems inc said it has bought all of the stock of ionic industries inc in exchange for shares of its common following the exchange there will be shares of circuit systems stock outstanding ionic holders will own about pct of the outstanding stock of circuit systems it said ionic a maker of circuit boards had revenues of mln dlrs and pretax profits of dlrs in up from revenues of mln and pretax profits of dlrs in circuit systems said reuter 
15,business,nippon kokan steel affiliates considering merger toshin steel co ltd toss t and azuma steel co ltd affiliates of nippon kokan kk nkkt t are considering a merger company spokesmen said toshin steel owned pct by nippon kokan and azuma steel owned pct by nippon kokan are expected to decide by the end of march they said both firms have been struggling with losses caused by the recession in the steel industry and the yen s appreciation azuma steel s current losses are estimated at billion yen in the year ending march against a billion loss a year earlier a spokesman said the firm employs workers toshin steel with workers has given no forecast for the year ending march but industry sources said they expected the company to show current losses of about five billion yen or more in compared with a billion loss in reuter 
16,business,shv says it making tender offer for up to mln shares in ic gas 
17,business,wallenbergs fight bid for swedish match stake sweden s wallenberg group fought back a bid by the london based swedish financier erik penser to secure a large stake in swedish match smbs st one of the companies at the core of their business empire a statement issued by the wallenberg holding companies ab investor and forvaltnings ab providentia said they had taken over an option held by nobel industrier sweden ab to acquire pct of the voting rights in swedish match thre wallenbergs paid nobel industrier nobl st in which penser group has a pct stake about pct over the market price for the swedish match option the statement said swedish match s b shares open to foreign buyers closed at crowns on friday the a shares with increased voting rights closed at crowns for the restricted and for the free shares the statement said the deal increased investor s stake to pct of the voting rights and pct of the share capital while providentia is left holding pct of the voting rights and pct of the share capital in swedish match the wallenbergs stake in swedish match had previously amounted to pct of the voting rights in the company the swedish match deal will cost the wallenbergs about mln crowns share analysts said making it one of the most expensise moves the group has undertaken in the last four years to defend its far flung interests from outside predators the wallenbergs originally sold nobel industrier an arms and chemicals group to penser in to pay for buying volvo volv st out of two other key group companies atlas copco asts st and stora koppabergs skps st since then the wallenbergs were ousted as the largest shareholders in skf skfr st by skanska ab skbs st and frederik lundberg wrested control of incentive ab from them lundberg a zurich based swedish property tycoon also managed to acquire a pct stake in another wallenberg company the diary equipment firm alfa laval ab alfs st during the wallenbergs have been concentrating on building up their stake in investor and providentia to prevent any raid on the heart of their business empire but analysts say the wallenbergs position in the electrical engineering firm asea ab asea st is also too small at pct of the voting rights and there has been growing speculation that the group will be forced to sell off fringe interests to protect its core activities reuter 
18,business,shv says it making tender offer for ic gas shv united kingdom holding co ltd said it was making a tender offer for up to mln ordinary shares in imperial continental gas association icgs l it said in a statement the offer was on the basis of p for each ic gas ordinary and p for every one stg nominal of ic gas loan stock shv already holds mln ic gas ordinary stock units representing around pct of the current issued share capital successful completion of the offer would increase shv s stake in ic gas to mln shares representing around pct of issued share capital it said the offer capitalises ic gas at around one billion stg it said it was tendering for both ordinary stock and loan stock which when fully converted gave a total of mln ic gas ordinary it is making the tender offer through n m rothschilds ic gas said in a statement it noted the shv tender offer and the terms were being considered it said a further statement would be made as soon as possible reuter 
19,business,sale tilney buys stake in u s insurance broker sale tilney plc said it has purchased pct of the ordinary share capital of b and r international inc a u s insurance broker for mln dlrs sale is paying mln dlrs in cash on completion with the balance plus interest to be paid in equal instalments over the next six years b and r posted pretax profit of dlrs in the year to dec when it had net tangible assets of dlrs reuter 
20,business,exco buys u s government securities broker exco international plc a subsidiary of british and commonwealth shipping co plc bcom l said it had agreed in principle to buy an pct stake in rmj holdings corp for about mln dlrs exco chairman richard lacy told reuters the acquisition was being made from bank of new york co inc bk n which currently holds a pct and from rmj partners who hold the remainder bank of new york and the partners will retain about pct each and these stakes will be bought over the next six years rmj is the holding company of rmj securities one of the largest u s government securities brokers it is also involved in broking notes obligations and other instruments sponsored by u s federal agencies lacy said exco had been considering buying a u s government securities broker for the past four years and had made an offer for rmj when it was sold by security pacific corp spc n in rmj was then valued at about mln dlrs b and c managing director peter goldie said rmj would be bought at about the same multiple as exco suggesting net income of around mln dlrs the company s earnings had not been hit by the halving of brokerage fees some months ago as volumes had since doubled lacy said that rmj employed some people with in the brokerage business and about in its sms unit which provided computer software for the financial services community rmj securities had offices in new york where total market turnover of u s government securities was billion dlrs a day and in london where it has billion it was also given permission last week to open an office in tokyo where total market turnover had lifted rapidly to about five billion dlrs a day the acquisition would contribute between five and pct of b and c s share earnings in on a proforma basis reuter 
21,business,coloroll agrees to buy u s wallcoverings company coloroll group plc said it has entered into a conditional agreement to acquire the business and assets of wallco inc and related companies for mln dlrs miami based wallco manufactures and distributes wallcoverings and showed a pretax profit of mln dlrs on turnover of mln in the year ending june the total u s market was estimated to be worth mln dlrs in having grown by pct in the previous five years coloroll said the combined sales and profit of the enlarged coloroll u s business would be mln and four mln dlrs respectively reuter 
22,business,scientific micro systems smsi acuires supermac scientific micro systems inc said it has acquired supermac technology a rapidly growing supplier of enhancement products and disc drive subsystems for the apple personal computer market scientific micro said it acquired all the common stock of supermac in exchange for mln shares of its own common stock the stock closed at dlrs bid on friday supermac a privately held firm based in mountain view california as is scientific micro reported a net profit of dlrs on revenue of mln dlrs in fiscal it expects its revenue to approximately double in reuter 
23,business,american express axp viewing shearson options american express co rumored to be considering a spinoff of part of shearson lehman brothers inc said it is studying a range of options for its brokerage unit that could improve shearon s access to capital and help it meet broadening international competition in a joint statement american express and shearson said the actions under consideration are an integral part of american express worldwide financial services strategy and that the two companies have been having both internal and external discussions on the matters american express said no decision has been reached on the strategic options and that it and shearson could ultimately decide to follow growth plans already in place last week rumors circulated on wall street that the financial services giant was considering a spinoff of part of shearson and there was speculation it may be considering selling a stake to a japanese firm analysts said the speculation also focused on american express selling pct of the profitable brokerage firm to the public there was some speculation that american express had also considered a total spinoff of shearson but the plan was considered highly unlikely analysts said american express said in the statement on sunday that it will not comment on rumors and speculation and a spokesman would not go beyond the statement the company also remained silent last thursday and friday as rumors drove american express stock up a total of dlrs in two days to bring it to a friday close at it said it issued the statement on sunday because a similar statement was being circulated to employees analysts have been divided on whether it makes sense for american express to give up a stake in the wholly owned brokerage which improved its after tax earnings by about pct in the last year some analysts said american express may consider spinning off part of shearson because it is concerned that its stock price does not fully reflect the value of the brokerage firm shearson contributed mln dlrs of american express billion dlr net in american express ambitious plans for international growth may be also enhanced by the added cash that spinning out part of shearson would bring analysts speculated that all of shearson would have a market value of about billion dlrs to some however the need for added capital is puzzling american express is in a position where they can raise capital if they need to said larry eckenfelder of prudential bache securities analysts said rumors were fed by the reorganization of shearson management wednesday chief operating officer jeffrey lane got the added previously vacant post of president the reorganization also created four new positions for chairmen of shearson s operating divisions a move analysts speculated would allow shearson to be a stand alone company analysts contacted on sunday said the statement does little to clarify last week s market speculation it does confirm however that the financial services firm which unsuccessfully attempted to expand shearson with a major acquisition last year is looking beyond its own walls for growth and positioning in the global market competition late last year shearson s takeover offer to the e f hutton group inc was rejected by hutton and analysts said there had been speculation that shearson also was rebuffed when it approached another major wall street brokerage reuter 
24,business,ropak ropk has pct of buckhorn bkn ropak corp said it received and accepted about common shares and series a convertible preferred shares of buckhorn inc at four dlrs and dlrs each respectively in response to its tender offer that expired friday and it now owns pct of buckhorn voting power the company had owned common and preferred shares before starting the hostile tender ropak said it is borrowing the funds needed to buy the buckhorn shares from its bank lender and will not need to use any funds that another bank had committed to provide under a margin loan ropak said it waived minimum acceptance requirements to buy the shares and intends to evaluate a number of possible ways of completing an acquisition of buckhorn it said it hopes that buckhorn s board will reevaluate its position and enter into meaningful negotiations reuter 
25,business,penril pnl seeks to sell two units penril corp said it is seeking to sell its triplett electrical instrument corp subsidiary in bluffton ohio and triplett s alltest division in hoffman estates ill as part of a plan to concentrate on its three profitable division and reduce its debt load the company also said it is evaluating a plan to satisfy its obligations under its pct subordinated notes but gave no details interest on the notes is due today penril further said director clifford l alexander jr has resigned from the board it gave no reason penril said shareholders at the annual meeting approved the limitation of directors liability reuter 
26,business,dale burdett inc faces damage claim dale burdett inc said it faces damages claims totalling about dlrs from the former owners of burdett publications inc the company said on february its predecessor nolex development inc acquired burdett publications inc in an exchange of mln common shares for all burdett publications shares but the transaction was not qualified with the california department of corporations as a result it said the former burdett publications owners have a claim for damages against dale burdett as successor to nolex for one yuear starting january with the damages measured by the difference in values of shares exchanged plus interest from february reuter 
27,business,purolator pcc in buyout with hutton efh new jersey based overnight messenger purolator courier corp said it has agreed to be acquired for about mln dlrs by a company formed by e f hutton lbo inc and certain managers of purolator s u s courier business analysts have said that purolator has been for sale for some time purolator announced earlier it was mulling a takeover bid but analysts wrongly predicted the offer was from another courier company hutton lbo a wholly owned subsidiary of e f hutton group inc will be majority owner of the company hutton said the acquiring company pc acquisition inc is paying dlrs cash per share for pct of purolator s stock in a tender offer to begin thursday the rest of the shares will be purchased for securities and warrants to buy stock in a subsidiary of pc acquisition containing purolator s u s courier operations if all the shares of purolator are tendered shareholders would receive for each share dlrs cash six dlrs in debentures and a warrant to buy shares in a subsidiary of pc acquisition containing the u s courier operations hutton said in the merger shareholders would get mln dlrs aggregate amount of guaranteed debentures due of pc acquisition and warrants to buy pct of the common stock of the pc courier subsidiary hutton said the company has valued the warrants at two to three dlrs per share purolator s stock price closed at dlrs on friday while some analysts estimated the company was worth in the mid s at least one said it would be worth to dlrs this follows sales of two other purolator units it agreed recently to sell its canadian courier unit to onex capital for mln dlrs and previously sold its auto filters business purolator retains its stant division which makes closure caps for radiators and gas tanks a hutton spokesman said the firm is reviewing its options on stant purolator s courier business has been lagging that of its u s rivals because of the high price it paid in the past several years to add air delivery to its ground fleet e f hutton will provide mln dlrs of its funds to complete the transaction this so called bridge financing will be replaced later with long term debt most likely in the form of bank loans hutton said hutton lbo is committed to keeping the courier business its president warren idsal said purolator lost mln dlrs over the last two years largely due to u s courier operations which we believe the management is turning around we belive it will be a very serious competitor in the future said idsal william taggart chief executive officer of u s courier division will be chief executive officer of the new company the tender offer will be conditioned on a minimum of two thirds of the common stock being tendered and not withdrawn to the expiration of the offer as well as certain other conditions the offer will begin thursday subject to clearances from the staff of the interstate commerce commission and will expire business days after commencement unless extended reuter 
28,business,financial santa barbara fsb to make purchase financial corp of santa barbara said it has signed a definitive agreement to purchase stanwell financial the lending operations unit of mortgage banking company stanwell mortgage for undisclosed terms reuter 
29,business,marriott mhs to sell hotel four seasons hotels said it and vms realty partners of chicago have agreed to purchase the santa barbara biltmore hotel from marriott corp for an undisclosed amount it said the venture will rename the hotel the four seasons biltmore at santa barbara and invest over mln dlrs in improvements on the room property reuter 
30,business,viacom said it has new national amusements mcv holdings bids 
31,business,laroche starts bid for neco npt shares investor david f la roche of north kingstown r i said he is offering to purchase common shares of neco enterprises inc at dlrs each he said the successful completion of the offer plus shares he already owns would give him pct of neco s common shares la roche said he may buy more and possible all neco shares he said the offer and withdrawal rights will expire at est gmt march reuter 
32,business,senior engineering makes mln dlr us purchase senior engineering group plc said it reached agreement with cronus industries inc to acquire the whole share capital of south western engineering co for mln dlrs cash this sum is being financed by a term loan south western is one of the u s s leading manufacturers of heat transfer equipment with a turnover of mln dlrs and pre tax profits of mln in completion of the deal is conditional on approval under u s hart scott rodino regulations which is expected within days some dlrs is payable immediately mln dlrs payable on completion with the balance due by june reuter 
33,business,viacom via receives two revised offers viacom international inc said it received revised merger offers from national amusements inc and mcv holdings inc the company said the special committee plans to meet later today to review both offers viacom said national amusements arsenal holdings inc raised the value of its offer for the viacom shares not held by national amusements in three areas national amusements holds pct of viacom s stock the cash value of the offer was raised to dlrs from the dlrs a viacom share offered february while the value of the fraction of a share of exchangeable preferred being offered was increased to dlrs a share from six dlrs the interest rate to be used to increase the cash value of the merger if delayed beyond april was raised to nine pct from eight pct and pct after may a viacom spokesman said the arsenal holdings s offer continues to include a pct interest in arsenal for present viacom shareholders viacom said mcv holdings a group which includes the company s senior management and the equitable life assurance society of the united states raised the value of its offer by increasing the value of the preferred being offered to dlrs from dlrs a share and raising the ownership in the new company to be held by present viacom shareholders to pct from pct mcv called its previous offer made february the final proposed revision of its agreement with viacom reuter 
34,business,pittston agrees to acquire wtc international in exchange of stock 
35,business,diagnostic retrieval systems inc makes mln dlr bid for rospatch corp 
36,business,miller tabak has pct of penn traffic pnf miller tabak hirsch and co said it has received an accepted common shares of penn traffic co in response to its dlr per share tender offer that expired friday and together with the shares it already owned it now has about pct of penn traffic the company said penn traffic is expected to hold a special shareholders meeting later this month to approve a merger into miller tabak at the tender price it said two miller tabak representatives will be named to the penn traffic board on march four to serve as the only directors with penn traffic president and chief executive officer guido malacarne the company said it received financing for the transaction from first national bank of minneapolis and salomon inc sb reuter 
37,business,pittston pco agrees to acquire wtc waf pittston co said it has tentatively agreed to acquire wtc international n v in a tax free exchange of stock pittston said it agreed to exchange common share for each of the about wtc common shares outstanding pittston said wtc s three principal shareholders who own pct of its stock are parties to this agreement they have granted pittston the right of first refusal to their shares wtc has granted pittston an option to buy wtc shares equal to poct of its outstanding stock the agreement is subject to approval of both boards and wtc shareholders pittston said described wtc as a fast growing air freight forwarding company with operations throughout the world its revenues totaled nearly mln dlrs in the year ended november and for the quarter ended on that date it earned mln dlrs on revenues of mln dlrs pittston said its burlington air express subsidiary generates about two thirds of its mln dlrs in annual revenes with its domestic air freight services reuter 
38,business,consolidated tvx says it will issue shares to buy stakes in three brazil mining firms 
39,business,diagnostic drs makes a bid for rospatch rpch diagnostic retrieval systems inc said it has made an offer to acquire through a wholly owned unit all outstanding shares of rospatch corp s common stock for dlrs a share cash or about mln dlrs drs a warfare systems producer said it would make the transaction through a cash tender offer for all but not less than pct of rospatch s outstanding common stock followed by a merger with rospatch a labels high technology and wood producer at the same purchase price per share drs said the deal is subject to approval by the rospatch board and the tender offer expires on march reuter 
40,business,the japan fund jpn gets buyout offer the japan fund inc said it has received an unsolicited offer from sterling grace capital management lp acting together with certain other persons and entities to purchase all the assets of the fund at five pct below its aggregate net asset value the japan find said tne deal is subject to obtaining satisfactory financing and a due diligence review it added that the proposal has been referred to its board of directors for consideration reuter 
41,business,corning to offer share for each hazleton share under earlier agreement 
42,business,bank of new york bk to have gain on unit sale bank of new york co said it and the management of rmj securities corp have agreed to sell pct of their interests in rmj holding corp to british and commonwealth holdings plc and bank of new york expects to realize a substantial gain on the transaction rmj holding is the holding company for rmj securities a large broker of u s government securities and agency obligations bank of new york owns a majority interest in rmj holding and management of rmj securities the remainder bank of new york said the sale is expected to be completed during the second quarter it said it and rmj securities management will continue to own pct of rmj holding for now but the agreement provides for the sale of that remaining interest to british and commonwealth over the next six years reuter 
43,business,corning glw hazleton hlc set excahnge ratio corning glass works said the exchange ratio for its previously announced acquisition of hazleton laboratories corp has been established at corning common share for each hazleton common share corning said the prospectus regarding the merger is expected to be mailed tomorrow to all hazleton holders of record february hazleton shareholders will vote on the proposed merger at a special meeting on march reuter 
44,business,bally bly completes purchase of golden nugget bally manufacturing corp said it completed the acquisition of the golden nugget casino hotel in atlantic city new jersey from golden nugget inc bally also acquired from golden nugget various parcels of real estate in atlantic city it noted the transaction included mln dlrs in cash and stock and the assumption of a mln dlrs mortgage reuter 
45,business,american nursery ansy buys florida nursery american nursery products inc said it purchased miami based heinl s nursery inc for undisclosed terms heinl s nursery has sales of about mln dlrs and owns acres of which are in shade houses and about square feet cover greenhouses shipping and office facilities reuter 
46,business,esselte business esb unit buys antonson unit esselte business systems inc s esselte meto division said it has acquired the antonson america co a subsidiary of antonson machines ab of sweden esselte said the antonson unit based in laporte indiana manufactures scales and label printers the company said the purchase is part of a plan to increase the range of retail electronic scales being offered by esselte in the u s it said the acquisition will enble esselte to increase its distribution base in its effort to grow in the u s reuter 
47,business,four seasons buying marriott mhs hotel four seasons hotels inc and vms realty partners said they agreed to acquire the santa barbara biltmore hotel in california from marriott corp for undisclosed terms closing was expected by march they added the companies said they would jointly own the hotel and rename it the four seasons biltmore at santa barbara they said they would spend more than mln u s dlrs to enhance the biltmore s position as one of the finest resort hotels in north america chicago based vms realty is a real estate and development firm reuter 
48,business,redstone details sweetened viacom via offer investor sumner redstone who leads one of the two groups vying for control of viacom international inc offered to sweeten his bid for the company by dlrs a share cash and dlrs in securities in a filing with the securities and exchange commission redstone who controls dedham mass based national amusements inc a theater chain operator offered to raise the cash portion of its viacom offer to dlrs a share from dlrs redstone also raised the face value of the preferred stock he is offering to dlrs from six dlrs the redstone offer which is being made through arsenal holdings inc a national amusements subsidiary set up for that purpose which also give viacom shareholders one fifth of a share of arsenal common stock after the takeover viacom said earlier today it received revised takeover bids from redstone and mcv holdings inc a group led by viacom management which is competing with redstone for control of the company and already has a formal merger agreement with viacom the company did not disclose the details of the revised offers but said a special committee of its board would review them later today the redstone group which has a pct stake in viacom and the management group which has a pct stake have both agreed not to buy more shares of the company until a merger is completed unless the purchases are part of a tender offer for at least half of the outstanding stock the two rivals also signed confidentiality agreements which give them access to viacom s financial records provided they keep the information secret in his sec filing redstone who estimated his cost of completing the takeover at billion dlrs said bank of america is confident it can raise billion dlrs besides the financing it would raise through a bank syndicate bank of america has also agreed to provide a separate mln dlr for the limited purpose of partial financing and has committed to provide another mln dlrs redstone said merrill lynch pierce fenner and smith inc has increased its underwriting commitment to mln dlrs of subordinated financing debt for the viacom takeover from the mln dlrs it agreed to underwrite earlier redstone said redstone said his group would contribute more than mln dlrs in equity toward the takeover the redstone equity contribution to the takeover would consist of all of his group s viacom common shares and at least mln dlrs cash he said the new offer the second sweetened deal redstone has proposed in his month long bidding war with management also contains newly drawn up proposed merger documents he said last week the management group submitted what it called its last offer for the company valued at mln dlrs and consisting of dlrs a share cash preferred stock valued at eight dlrs a share and equity in the new company redstone s previous offer had been valued at billion dlrs reuter 
49,business,montedison concludes talks with antibioticos montedison spa moni mi said it has concluded its negotiations with spanish pharmaceuticals company antibioticos sa a company spokesman told reuters we have concluded the talks and we are now awaiting authorization from spanish authorities he declined to comment further earlier today the italian company postponed a scheduled press conference on its talks with antibioticos an italian press report today said montedison has agreed to acquire antibioticos for billion lire reuter 
50,business,utilicorp ucu completes acquisition utilicorp united inc said it completed the acquisition of west virginia power from dominion resources for about mln dlrs the sale was approved by the west virginia public service commission in january and became effective march one west virginia s management will continue to be responsible for operating the utility it said reuter 
51,business,carbide uk looks to acquisitions for growth union carbide corp is looking to acquisitions and joint ventures to aid its chemicals and plastics growth according the h w lichtenberger president of chemicals and plastics describing this as a major departure in the company s approach to commercial development he told the annual new business forum of the commercial development association we are looking to acquisitions and joint ventures when they look like the fastest and most promising routes to the growth markets we ve identified not very long ago union carbide had the attitude that if we couldn t do it ourselves it wasn t worth doing or if it was worth doing we had to go it alone lichtenberger explained he said there are times when exploiting a profitable market is done best with a partner nor do we see any need to plow resources into a technology we may not have if we can link up profitably with someone who is already there he said carbide has extended its catalyst business that way and is now extending its specialty chemicals business in the same way reuter 
52,business,corrected bankamerica negotiating sale of units bank of america nt and sa s bac n west german branch said it is negotiating the sale of bankhaus centrale credit ag a small local west german bank it acquired in and of its west german visa credit card operation michael seibel bank of america vice president and regional manager said the negotiations were proceeding well he declined to give further details bank of america s west german branch lost some mln marks in the result includes profit and loss transfers from bankhaus centrale credit and the visa organisation the sale of the units is part of the bank s worldwide restructuring plan reuter 
53,business,kapok corp kpk in technical default kapok corp said it is in techical default of its loans from southeast banking corp stb and murray steinfeld but is negotiating with the lenders it said neither has declared the loans due the company said it has agreed to sell the peter pan restaurant in urbana md for dlrs or one mln dlrs after the payment of expenses reuter 
54,business,investor group has talks with pesch on ami ami wedge group inc a houston investment firm with a pct stake in american medical international inc said it has had talks with pesch and co which is seeking control of the company in a filing with the securities and exchange commission wedge which is owned by issam fares a lebanese citizen living in switzerland also said it discussed the possibility of joining with others in its own bid to seek control of ami wedge stressed that it has no current plans to seek control of ami but refused to rule out a takeover try in the future wedge said it has had discussions with ami management pesch the closely held health care and investment concern controlled by chicago physician leroy pesch and other ami shareholders it did not specify in its sec filing which issues selling its ami stake or joining with others in a takeover try were discussed with which group but it said the talks did not produce any agreements or understandings wedge said it believes that some form of restructuring of ami and its business would be highly desirable and appropriate at this time wedge which holds mln shares of ami common stock said it plans to hold further talks with company management pesch and other shareholders pesch last week sweetened his bid for the company to dlrs a share in cash and securties or billion dlrs based on ami s total outstanding from an all cash dlr a share bid which the company rejected reuter 
